coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,quote_id,retweet_count,retweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_id,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name,user_statuses_count,user_time_zone,user_urls,user_verified
,Mon May 16 17:41:08 +0000 2016,,,https://donate.redcross.ca/ea-action/action?&ea.client.id=1951&ea.campaign.id=50639,0,732264634581798912,HunterOlivia,731693546776891393,779285478,en,,false,,0,,,"<a href=""http://adobe.com"" rel=""nofollow"">Adobe® Social</a>",@HunterOlivia We encourage you to make a donation to the Red Cross to help those affected by Fort McMurray wildfire https://t.co/W4FBsNtFoG,https://twitter.com/canadaposthelps/status/732264634581798912,Tue Mar 13 16:32:01 +0000 2012,523423153,false,Open Mon – Fri 9AM – 5PM ET. Kudos? Questions? Complaints? We want to hear from you. Français: @postes_aide,1065,32618,1947,85,Ottawa Ontario,Canada Post Helps,canadaposthelps,107399,,http://www.canadapost.ca/support,true
,Sat May 07 16:00:20 +0000 2016,ymmfire,https://twitter.com/WatchCTVNews/status/728977776875847680/photo/1,http://ow.ly/UMYM3000FyB,2,728977776875847680,,,,en,,false,,7,,,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Nation-wide support: Canadians donate $30M in wildfire relief @Mirandanthistle #ymmfire. https://t.co/U7bdWk549V https://t.co/GPCammyfIJ,https://twitter.com/WatchCTVNews/status/728977776875847680,Tue Nov 01 15:45:02 +0000 2011,402792142,false,Watch CTV News: the best news and LIVE events on the CTV News Video Network here: http://t.co/zJyoyaUiYz or mobile: http://t.co/eMF7oMw3kS,75,21820,302,329,Canada,Watch CTV News,WatchCTVNews,108143,,http://ctvnews.ca/mobile/video,true
,Fri May 06 19:16:05 +0000 2016,,,https://weather.com/safety/wildfires/news/fort-mcmurray-wildfire-alberta-animal-rescue-efforts?cm_ven=Twitter&cm_cat=www.twitter.com&cm_pla=tw_feed&cm_ite=tw_social_tweet,0,728664651861368832,,,,en,,false,,0,,,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","As Fort McMurray Wildfire Blazes On, Community Rallies to Rescue Animals | The Weather Channel @weatherchannel https://t.co/fjbhfwPfyz",https://twitter.com/SusanDuncanolp/status/728664651861368832,Mon Jun 08 03:28:27 +0000 2015,3239480443,false,"A HUGE ANIMAL LOVER,WISH I COULD SAVE ALL #ANIMALS OF THE WORLD! #StopAnimalAbuse #StopYulinForever. #EndDogAndCatMeatTrade",98849,14151,13721,240,"Winnipeg, Manitoba Canada",Susan Duncan,SusanDuncanolp,207865,,https://mobile.twitter.com,false
,Fri May 06 22:57:56 +0000 2016,ymmfire,,,0,728720481050857472,,,,en,,,,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Wont be streaming. Just lost my home due to the Fort McMurray WildFire. Thankyou Red Cross for helping us as we all evacuated #ymmfire,https://twitter.com/AmateurLithy/status/728720481050857472,Sat Mar 19 23:39:06 +0000 2016,711336222958813184,false,This is my twitter to my Twitch Channel AmateurLithy! Please keep posted with my latest Gameplays. :),0,5,65,0,"Alberta, Canada",Gabrelle Derouin,AmateurLithy,12,,https://www.twitch.tv/amateurlithy,false
,Fri May 06 22:55:07 +0000 2016,FortMcMurray Athabaskan,,http://www.newstalk770.com/2016/05/06/fort-mcmurray-wildfire-continues-to-grow/?sc_ref=twitter,6,728719774675574784,,,,en,,false,,10,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#FortMcMurray fire burned/destroyed 15-20% of buildings in city; jumped #Athabaskan River, may double in size agai https://t.co/MVwVJeVcHH",https://twitter.com/PaulHBeckwith/status/728719774675574784,Tue Dec 08 18:01:46 +0000 2009,95468980,false,"Climate System Science Expert, Educator, Physicist (M. Sc. Laser Optics, B.Eng. Engineering Physics), interested in climate solutions and chess",53925,24652,26998,866,"Ottawa, ON",Paul Beckwith,PaulHBeckwith,73321,,http://paulbeckwith.net,false
,Sun May 08 21:04:01 +0000 2016,FortMcMurray wildfires,,,0,729416589347454976,,,,en,,,,13,728202153576239104,AngelsofFur,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Thoughts &amp; prayers go out to @FMSPCA &amp; the people of #FortMcMurray &amp; surrounding areas caught in the #wildfires.
https://t.co/eWSvIpfhMH",https://twitter.com/JennKoDesign/status/729416589347454976,Sun Jul 21 21:07:17 +0000 2013,1611334878,false,"Jewelry Designer, Animal and Human Rights Advocate.",9007,1167,655,397,Vancouver,Jennko,JennKoDesign,95619,,http://www.etsy.com/ca/shop/JennKoDesign,false
,Wed May 11 10:43:21 +0000 2016,UrbanFringe,,,0,730347558023925760,,,,en,,,,4,730347477627490304,vwsfires,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Do you live on #UrbanFringe? Close to wildfire areas? Follow @FirewiseSA handy tips ro ensure safer property! @kfmza https://t.co/LvW92nA2UV,https://twitter.com/billboardsa/status/730347558023925760,Tue May 14 11:50:42 +0000 2013,1427655241,false,THE BILLBOARD South Peninsula - a monthly magazine featuring a range of local businesses and services who want to reach their local area and clientele.,3991,1213,2160,49,"South Peninsula, Cape Town",billboardsa,billboardsa,11287,,http://thebillboard.co.za/,false
,Sun May 15 22:34:42 +0000 2016,on411 onfires wildfire manitoba411 mbfires,,http://www.giscoeapp.lrc.gov.on.ca/ForestFireInformationMap/Index.html?site=AFFES_ONLine&viewer=AFFES_ONLINE&locale=en-US,0,731976125279289349,,,,en,,false,,0,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Active Fires - Ontario

https://t.co/5ATCHME7MN

#on411 #onfires #wildfire #manitoba411 #mbfires",https://twitter.com/Call310Fire/status/731976125279289349,Fri May 13 14:14:23 +0000 2016,731125439142367232,false,Providing Daily Fire Updates,12,44,54,17,Canada,310-Fire,Call310Fire,205,,,false
,Wed May 18 15:54:11 +0000 2016,,,https://twitter.com/ScottieUpshall/status/732957323254194181,3,732962494252113920,,,,en,,false,732957323254194181,0,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Great story. Wishing all the best to everyone affected by these fires. You will come back stronger than ever.  https://t.co/iN0T6KaYzE,https://twitter.com/jeffarchibald21/status/732962494252113920,Mon Feb 21 21:46:26 +0000 2011,255694637,false,"Just your everyday, average human and bean counter.",1413,334,401,2,"Calgary, Alberta",Jeff Archibald,jeffarchibald21,2928,,,false
,Mon May 16 01:05:10 +0000 2016,,,http://fb.me/7VOq8D0OB,0,732013993112555521,,,,en,,false,,0,,,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Here's the latest update for the Fort McMurray monster wildfire, courtesy of the Alberta Government:

The fire... https://t.co/KmCNql2DKP",https://twitter.com/TornadoGPS/status/732013993112555521,Thu Oct 10 09:34:48 +0000 2013,1951348363,false,A simple and powerful Tornado and severe weather warning app + 3D Radar,6,223,65,7,"Barrie, Ontario",Tornado GPS,TornadoGPS,326,,http://TornadoGPS.com,false
